Irvine Regional Park Certified Farmers' Market,1 Irvine Park Road,Orange,Orange,California,
Braintree Farmers Market,1 JFK Memorial Drive,Braintree,Norfolk,Massachusetts,2184
Portsmouth Farmers' Market,1 Junkins Avenue,Portsmouth,,New Hampshire,
Atkinson NH Farmers Market,1 Kip Cam Road,Atkinson,Rockingham,New Hampshire,3811
Gettysburg Farmers' Market,1 Lincoln Square,Gettysburg,Adams,Pennsylvania,17325
Winooski Farmers' Market,1 Main St.,Winooski,Chittenden,Vermont,5404
Waltham Farmers' Market,1 Moody Street,Waltham,Middlesex,Massachusetts,2454
Ocala Farm Market,1 NE 1st Avenue,Ocala,Marion,Florida,34470
Carbondale Farmers Market,1 North Main Street,Carbondale,Lackawanna,Pennsylvania,18407
Farmers' Market at Mill Park,1 Northern Ave,Augusta,Kennebec,Maine,4330
Harvard University Farmers' Market,1 Oxford Street,Cambridge,Middlesex,Massachusetts,2138
Smart Markets Manassas Park,1 Park Center Ct.,Manassas Park,Prince William,Virginia,20111
Acton-Boxborough Farmers Market,1 Pearl St,Acton,Middlesex,Massachusetts,1720
Willoughby Outdoor Market,1 Public Square,Willoughby,Lake,Ohio,44094
REC'S Mobile Farmers Market - YWCA of Central MA,1 Salem Square,Worcester,Worcester,Massachusetts,
Castine Farmers' Market,1 School St.,Castine,Hancock,Maine,4420
Crescent City Farmers Market,1 South Summit Street,Crescent City,Putnam,Florida,32112
York Gateway Farmers' Market,1 Stonewall Lane,York,York,Maine,3909
Carefree Farmers Market,1 Sundial Circle,Carefree,Maricopa,Arizona,85377
Troy Waterfront Farmers Market,1 Third Street,Troy,Rensselaer,New York,12180
Taylor Farmers' Market,1 Town Square Lane,Taylor,Lafayette,Mississippi,38673
Heart of the City Farmers' Market,1 United Nations Plaza,San Francisco,San Francisco,California,94102
North Asheville Tailgate Market,1 University Heights,Asheville,Buncombe,North Carolina,28804
Winter Sun Farms Indoor Winter Market,1 Veteran Drive,New Paltz,Ulster,New York,12561
New Lenox Farmers Market,1 Veterans Parkway,New Lenox,Will,Illinois,60451
Sandhills Farmers Green Market,1 Village Green Rd West,Pinehurst,Moore,North Carolina,28374
Oakmont Farmers Market,1 W Eagle Road,Havertown,Delaware,Pennsylvania,19083
Kennedy Plaza Farmers Market,1 w. Chester Street,Long Beach,Nassau,New York,11561
REAP Ellicottville Farmers Market,1 W. Washington Street,Ellicottville,Cattaraugus,New York,14731
Forsyth Farmers' Market,1 West Park Avenue,Savannah,Chatham,Georgia,31401
Northport Farmers Market,1 Woodbine Ave.,Northport,Suffolk,New York,11768
Hollywood Market @ Young Circle,1 Young Circle,Hollywood,Broward,Florida,33022
KC Organics and Natural Market,1/4 mile East of Holmes Road on Red Bridge Road,Kansas City,Jackson,Missouri,64114
Towson Farmers' Market,10 Alleghany Avenue,Towson,Baltimore,Maryland,21204
Thursday Marin Farmers Market,10 Avenue of the Flags,San Rafael,Marin,California,94903
Deerfield Farmer's Market,10 Church Street,Deerfield,Rockingham,New Hampshire,3037
Brick District Farmers' Market,10 East 5th Street,Fulton,Callaway,Missouri,65251
Fox School Farmers Market,10 East Main Street,South Paris,Oxford,Maine,4281
Imperial Beach Certified Farmers Market,10 Evergreen Ave.(Pier Plaza),Imperial Beach,San Diego,California,91932
Fresh Friday Farmers Market sponsored by Kaiser Permanente,10 Hopkins Plaza,Baltimore,Baltimore City,Maryland,21201
Sugar Grove Farmers Market,10 Municipal Drive,Sugar Grove,,Illinois,60554
Greater Danville Chamber of Commerce Farmer's Market,10 S Jefferson St.,Danville,Hendricks,Indiana,46122
Charlemont,10 School St./Route 2,charlemont,Franklin,Massachusetts,
Kittery Community Market,10 Shapleigh RD,Kittery,York,Maine,3904
Shillington Farmers market,10 South Summit Avenue,Shillington,Berks,Pennsylvania,19607
King City Certified Farmers Market,100 & 200 Block of Broadway St.,King City,Monterey,California,93930
Janesville Farmers Market,100 & 200 Blocks of Main Street,Janesville,Rock,Wisconsin,53545
Valley Junction Farmers Market,100 & 200 blocks on 5th Street,West Des Moines,Polk,Iowa,50265
Hayfield Farmer Market,100 2nd Street NE,Hayfield,Dodge,Minnesota,55940
San Francisco Alemany Farmers Market,100 Alemany Boulevard,San Francisco,San Francisco,California,94110
South Wedge Farmers Market,100 Alexander St.,Rochester,Monroe,New York,14620
Kelso Bridge Market,100 Allen St. & Pacific Ave.,Kelso,Cowlitz,Washington,98626
Downtown Cumberland,100 Baltimore Street,Cumberland,Allegany,Maryland,21502
Richmond County Farmers Market,100 Biltmore Drive,Rockingham,Richmond,North Carolina,28379
Mason Area Farmers Market,100 block East Maple at Jefferson (in street),Mason,Ingham,Michigan,48854
Rome Farmers Market,100 block of East Dominick Street,Rome,Oneida,New York,13440
Glendale Certified Farmers Market,100 Block of North Brand Boulevard,Glendale,Los Angeles,California,91206
Mascoutah Farmers Market,100 block of railway,Mascoutah,,Illinois,62258
Henry County Farmers Market,100 block of S Main Street,New Castle,Henry,Indiana,47632
Charlotte DDA Farmers Market,100 block of West Harris St,Charlotte,Eaton,Michigan,48813
State Center Farmers Market,100 block of West Main Street,State Center,Marshall,Iowa,50247
Klamath Falls Farmers Market,100 block S 9th st.,Klamath Falls,Klamath,Oregon,97601
Wharton County Farmers Market,100 Block South Houston Street,Wharton,Wharton,Texas,77488
Vandenberg Village Farmers' Market,100 Burton Mesa blvd.,Lompoc,Santa Barbara,California,93436
East Texas Fresh Farmers Market,100 Chimney Rock Drive,Tyler,Smith,Texas,75703
Appleton Downtown Farm Market,100 College Avenue,Appleton,Outagamie,Wisconsin,54911
ABBEVILLE FARMERS MARKET,100 COLUMBIA RD.,ABBEVILLE,HENRY,Alabama,36310
Gaylord Downtown Farmers Market,100 court st,gaylord,Otsego,Michigan,49735
Gaylord West Farmers Market,100 Court Street,Gaylord,Otsego,Michigan,49735
Davis County Farmers' Market,100 Courthouse Square,Bloomfield,Davis,Iowa,52537
Canton Farmers Market,100 Depot Drive,Canton,Madison,Mississippi,39046
Columbus Farmers' Market,100 Depot Street,Tryon,Polk,North Carolina,
Guadalupe Valley Gardener's Market,100 E Donegan,Seguin,Guadalupe,Texas,78155
Middleville Farmers Market,100 E Main St,Middleville,Barry,Michigan,49333
Grant County Farmer's Market,100 E Third St,Marion,Grant,Indiana,46952
Urban Table Certified Farmer's Market,100 E. 4th Avenue,San Mateo,San Mateo County,California,
Downtown Valdosta Farm Days,100 E. Central Ave,Valdosta,Lowndes,Georgia,31601
Davis County Farmers' Market,100 E. Jefferson St.,Bloomfield,Davis,Iowa,52537
Redlands Farmers Market,100 E. Redlands Boulevard,Redlands,San Bernardino,California,92373
Williamson Farmers Market,100 East 3rd Ave.,Williamson,Mingo,West Virginia,25661
Visalia Farmers Markets,100 East King Ave.,Tulare,Tulare,California,93274
High Desert Growers' Farmers' Market,100 East Main,Price,Carbon,Utah,84501
Edible Saturdays Farmers Market,100 Green Meadows Drive,Lewis Center,Delaware,Ohio,43035
Lenoir County Farmers Market,100 Herritage Street,Kinston,Lenoir,North Carolina,28501
Farmers' Market of Laclede County,100 Hospital Drive,Lebanon,Laclede,Missouri,65536
Columbus Farmers' Market,100 Irving Street,Saluda,Polk,North Carolina,
San Antonio Farmers Market Olmos Basin,100 Jackson Keller,San Antonio,Bexar,Texas,78216
Ottawa Area Chamber of Commerce Farmers Market,100 Jackson Street,Ottawa,La Salle,Illinois,61350
Woodstock Farmers Market,100 Johnson Street,woodstock,McHenry,Illinois,60098
Capitan Farmers' Market,100 Lincoln Ave.,Capitan,Lincoln,New Mexico,
Johnson Farmers Market,100 Main Street,Johnson,Lamoille,Vermont,5656
Lafayette County Farmers' Market - Odessa,100 Main Street,Odessa,Lafayette,Missouri,64076
Red Bluff Saturday Farmers Market,100 Main Street,Red Bluff,Tehama,California,96080
Manteca Certified Farmers Market,100 Manteca Avenue,Manteca,San Joaquin,California,95337
Gadsden Farmers Market,100 Moragne Ave. Moragne Park,Gadsden,Etowah,Alabama,35902
Lake Mary Farmers' Market,100 N 4th Street,Lake Mary,Seminole,Florida,32746
Crisp! Garfield Park,100 N Central Park Ave.,Chicago,Cook,Illinois,60624
Wauconda Farmers Market,100 N Main Street,Wauconda,Lake,Illinois,60084
Henderson County Tailgate Market,100 N. King Street,Henderson,Henderson,Michigan,29739
The Central Ozarks Farmers & Artisans Market,100 N. Main St.,Harrison,Boone,Arkansas,72601
Wildwood Growers' Market,100 N. Main Street,Wildwood,Sumter,Florida,34785
Macungie Farmers Market,100 N. Walnut Street,Macungie,Lehigh,Pennsylvania,18062
Pompano Beach Green Market,100 N.E. First Street,Pompano Beach,Broward,Florida,33061
Oakdale Certified Farmers Market,100 North 3Rd Avenue,OAKDALE,Stanislaus,California,
Elkhart Community Farmer's Market,100 North Elkhart Ave.,Elkhart,Elkhart,Indiana,46516
Lake Mills Farmers' Market,100 North Main Street - Commons Park,Lake Mills,Jefferson,Wisconsin,53551
Rockford City Market,100 North Water Street,Rockford,Winnebago,Illinois,61101
SOMERSET FARMERS' MARKET,100 PUBLIC SQ.,SOMERSET,Perry,Ohio,43783
Farmers Market in Christiansburg - NRV Grown,100 Radoford Street,Christiansburg,Montgomery,Virginia,24073
Village of Denmark Farmers Market,100 Railroad Avenue,Denmark,Brown,Wisconsin,54208
Stanly County Farmers Market,100 Railroad St,Albemarle,Stanly,North Carolina,28001
Onslow County Farmers Market,100 Recreation Lane in The Commons,Jacksonville,Onslow,North Carolina,28546
Ypsilanti Depot Town Farmers' Market,100 Rice Street (Market Place),Ypsilanti,Washtenaw,Michigan,48198
Charles Town Farmers Market,100 S Samuel St,Charles Town,Jefferson,West Virginia,25414
Santa Cruz River Farmers' Market,100 S. Avenida del Convento,Tucson,Pima,Arizona,85745
Denton St. Luke's Farmers' Market,100 S. Fifth Avenue,Denton,Caroline,Maryland,21629
Ruston Farmers Market,100 S. Monroe St.,Ruston,Lincoln,Louisiana,71270
The Boyertown Farmers Market,100 S. Walnut Street,Boyertown,Berks,Pennsylvania,19512
San Marcos/New Braunfels Farmers Market Association,100 San Antonio st,San Marcos,Hays,Texas,78666
Bramwell Farmers' Market,100 simmons ave,Bramwell,Mercer,West Virginia,24715
El Reno Farmers Market,100 South Choctaw Ave.,El Reno,Canadian,Oklahoma,73036
Willits CFM,100 State St,Willits,Mendocino,California,95490
Liberty Farmers Market,100 Sullivan Avenue,Ferndale,Sullivan,New York,12734
Glade Spring Farmers Market,100 Town Square St,Glade Spring,Washington,Virginia,24340
Nevada City Farmers Market,100 Union Street,Nevada City,Nevada,California,95959
Uptown Normal Trailside Farmers Market,100 W North St,Normal,McLean,Illinois,61761
Rensselaer Farmers Market,100 W. Harrison St.,Rensselaer,Jasper,Indiana,47978
La Grange Farmers' Market & Artisans,100 W. Main Street,La Grange,Oldham,Kentucky,40031
Monroe County Farmers Market-Waterloo IL,100 W. Mill St.,Waterloo,Randolph,Illinois,62298
Moab Farmers' Market,100 West and Park Drive,Moab,Grand,Utah,84532
Independence Farmers Market,100 West First Street,Independence,Buchanan,Iowa,50644
El Pueblo Farmers' Market,100 West Irvington Road,Tucson,Pima,Arizona,85714
Tri-County Farmers Market Association,100 West Main,San Antonio,Bexar County,Texas,
Clayton Farm and Community Market,100 West Main Street,Clayton,Johnston,North Carolina,27520
Vine Grove Farmers Market,100 West main Street,Vine Grove,Hardin,Kentucky,40175
Vineyard Farmers Market,100 West Shaw,Fresno,Fresno,California,93704
BFR/Oyate Teca Farmers Market,100 Youth Center Drive,Kyle,Shannon,South Dakota,57752
Farmers Market on Broadway,100-200 Blocks North Broadway,Green Bay,Brown,Wisconsin,54303
Moon Farmers Market,1000 Beaver Grade Road,Moon Township,Allegheny,Pennsylvania,15108
The Serbian Sun Market,1000 Colliers Way,Weirton,,West Virginia,26062
Athens Farmers Market,1000 East State Street,Athens,Athens,Ohio,45701
Stamford - High RidgeFarmers' Market,1000 High Ridge Road,Stamford,Fairfield,Connecticut,6901
OSDH Wellness Farmers' Market,1000 NE 10th Street,Oklahoma City,Oklahoma County,Oklahoma,
Ballston Farmers Market,1000 North Glebe Road,Arlington,,Virginia,22207
Cooper-Young Community Farmers Market,1000 S Cooper St,Memphis,Shelby,Tennessee,38104
scalp ave farmers market,1000 scalp ave,Johnstown,Cambria,Pennsylvania,15904
SLC People's Market,1000 South 900 West,SALT LAKE CITY,Salt Lake,Utah,84110
Flossmoor Farmers Market,1000 Sterling Ave,Flossmoor,Cook,Illinois,60422
Strite's Orchard Farm Market and Bakery,1000 Strites Road,Harrisburg,,Pennsylvania,17111
Ocean Springs Fresh Market,1000 Washington Ave.,Ocean Springs,Jackson,Mississippi,39564
Elk Grove Village Farmers Market,1000 Wellington Ave.,Elk Grove Village,Cook,Illinois,60007
Farmers Market of Pueblo,1000 West 6th Street,Pueblo,,Colorado,
Douglass Farmers' Market,1000 West Paterson Street,Kalamazoo,Kalamazoo,Michigan,49007
Warson Woods Farmers' Market,10001 Manchester Road,Warson Woods,St. Louis,Missouri,63122
Marion Farmers Market,1001 7th Avenue,Marion,Linn,Iowa,52302
Show Low Main Street Farmers' Market & Art Walk,1001 E. Duece of Clubs,Show Low,Navajo,Arizona,85901
Fort Collins Farmers Market,1001 East Harmony Road,Fort Collins,Larimer,Colorado,80525
San Bernardino Farmers Market,1001 Highland Avenue,San Bernardino,San Bernardino,California,92413
DePere Market at Festival Foods,1001 Main Ave,De Pere,Brown,Wisconsin,
The Osage Mercado,1001 Osage Street,Denver,Denver,Colorado,80204
Scarsdale Farmers Market,1001 Post Rd.,North White Plains,Westchester,New York,10603
Charlestown Farmers Market,1001 Ryan Street,Lake Charles,Calcasieu,Louisiana,70601
Elko Farmers' Market,10012 Hwy. 78,Elko,Barnwell,South Carolina,29826
West Frankfort Farmers Market,1002 E Cleveland St,West Frankfort,,Illinois,62896
Springs Farm Farmers Market,1002 Springfield Parkway,Fort Mill,York,South Carolina,29715
Fountain Farmers Market - First United Methodist Church,1003 North Santa Fe,Fountain,El Paso,Colorado,80817
Montgomery Curb Market,1004 Madison Avenue,Montgomery,Montgomery,Alabama,36104
De Soto Farmers' Market,1004 Rock Road,De Soto,Jefferson,Missouri,63020
Wintertime Farmers Market,1005 Main Street,Pawtucket,Providence,Rhode Island,2860
Munster's Farmer's Market,1005 N Centennial Dr.,Munster,Lake,Indiana,46321
Espanola Farmers Market,1005 N.Railroad Avenue,Espanola,Rio Arriba,New Mexico,87532
Boone County Farmers' Market,1005 W Worley St,Columbia,Boone,Missouri,65202
Gay Hill Farmer's Market,10050 Highway 36 North,Brenham,Washington,Texas,77833
Battlefield Farmers Market,10052 Hwy. 27 N.,Rock Spring,Walker,Georgia,30739
Mt. Vernon Farmers Market,1006 E. Fourth St.,Mt. Vernon,Posey,Indiana,47620
Rocky Mount Farmers Market,1006 Peachtree St.,Rocky Mount,Nash,North Carolina,27804
Phoenix Hill NuLu Farmers' Market,1007 E. Jefferson St.,Louisville,Jefferson,Kentucky,40206
Coushatta Farmers' Market,1007 Main Street,Elton,Jefferson Davis,Louisiana,70532
Hatton Farmers Market,1009 Dakota Ave.,,,North Dakota,
East Jerusalem Fresh Food on the Block Farmers Market,1009 Rebecca Ave.,Hattiesburg,Forrest,Mississippi,39401
Alliance for the Arts GreenMarket,10091 McGregor Boulevard,Ft. Myers,Lee,Florida,33919
Berkshire - Rome Vendors' Market,101 block West Dominick,Rome,Oneida,New York,13440
Buckwalters Farmers Market,101 Buckwalter Place,Bluffton,Beaufort,South Carolina,29910
Carousel Sunday Market and Festival,101 Carousel Drive,Missoula,Missoula,Montana,59802
Green Earth Farmers Market,101 Church Street at the Beach,Ottumwa,Wapello,Iowa,52501
Chaparral Farmers' Market,101 County Line,Chaparral,Dona Ana,New Mexico,
Shreveport Farmers' Market,101 Crockett St.,Shreveport,Caddo,Louisiana,71101
Downtown Kaukauna Farmer's Market,101 Crooks Ave.,Kaukauna,Outagamie,Wisconsin,54130
Fayette County Farmers Market,101 E East Street,Washington Court House,Fayette,Ohio,43160
Farmers Market at the Depot,101 E. Depot Street,Springfield,Washington,Kentucky,40069
Red River Farmers Market,101 E. Hatton Road,Wichita Falls,Wichita,Texas,76302
Mount Joy Farmers Market,101 E. Main Street,Mount Joy,Lancaster,Pennsylvania,17552
Oxford Original Farmers Market,101 East Chestnut Street,Oxford,Butler,Ohio,45056
Kennett Square Farmer's Market,101 East State Street,Kennett Square,Chester,Pennsylvania,19348
St. Luke's SteelStacks Farmers Market,101 Founders Way,Bethlehem,Northampton,Pennsylvania,18015
Cheraw Farmers Market,101 Front Street,Cheraw,Chesterfield,South Carolina,29520
Bondurant Farmers Market,101 Grant Street N,Bondurant,,Iowa,50035
St. Michaels FRESHFARM Market,101 Green Street,St. Michaels,Talbot,Maryland,21663
Centreville Farmers' Market,101 Lawyers Row,Centreville,Queen Anne's,Maryland,21617
Hobart Farmers' Market,101 Maple Avenue,Hobart,Delaware,New York,13788
Marinwood Community Farmers Market,101 Marinwood Avenue,San Rafael,Marin,California,94903
Mendon Farmers Market,101 Mendon Ionia Road,Mendon,Monroe,New York,14506
Swain County Tailgate Market,101 Mitchell St.,Bryson City,Swain,North Carolina,28713
Greene County Farmers Market,101 N Chestnut Stree,Jefferson,Greene,Iowa,50129
Cobb Market,101 N Wilson Street,Cobb,Iowa,Wisconsin,
Main Street Market of Carrolton,101 North Main Street,Carrolton,Carroll,Missouri,64633
Bounty of the Barrens Farmers' Market,101 North Public Square,Glasgow,Barren,Kentucky,42141
Dundas Farmers Market,101 Railway St S,Dundas,Rice,Minnesota,55019
Center City Green Market,101 S Tryon St,Charlotte,Mecklenburg,North Carolina,28202
Farmers' Friday Market,101 S. Kerbey,Cave Junction,Josephine,Oregon,
Green Valley Farmers Market,101 S. La Canada Ste. 16,Green Valley,Pima,Arizona,85614
Downtown Bloomington Farmers Market,101 S. Madison,Bloomington,McLean,Illinois,61701
The Great Sidney Farmers Market,101 S. Ohio Avenue - Floor 2,Sidney,Shelby,Ohio,45365
Evening Farmer's Market on the Riverwalk,101 S. Union Ave,Pueblo,Pueblo,Colorado,81003
Uptown Wadesboro Farmers Market,101 South Greene Street,Wadesboro,Anson,North Carolina,28170
Waxahachie Downtown Farmers Market,101 W. Main Street,Waxahachie,Ellis,Texas,75165
Fayetteville Farmers Market on the Downtown Square,101 W. Mountain,Fayetteville,Washington,Arkansas,72701
Orting Valley Farmers Market,101 Washington,Orting,Pierce,Washington,98360
Harvest Home Metropolitan Avenue Market,101-15 Metropolitan Avenue,Queens,Queens,New York,
Chapman Food & Fitness Festival,1010 Cleveland Avenue,Chico,Butte,California,95928
West End Senior Center Wednesday Farmer's Market,1010 Main Street,Buhl,Twin Falls,Idaho,83316
Dallas Farmers Market,1010 S. Pearl Expressway,Dallas,Dallas,Texas,75201
Upper State Street Farm Market,1010 State St,New Haven,,Connecticut,6511
Farmboat - Floating Markets & Maritime Heritage Events,1010 Valley Street,Seattle,,Washington,98109
Vallco Farmers' Market,10101 N. Wolfe Rd.,Cupertino,Santa Clara,California,95014
Abbotsford Farmers Market,1011 East Spruce St.,Abbotsford,Clark,Wisconsin,54405
DeSoto Farmers' Market,10117 Hwy. 171,Grand Cane,De Soto,Louisiana,71032
Glens Falls Farmers Market Association,1012 State Route 9,Queensbury,Warren,New York,12804
Stone Gardens Farmers' Market,1012 Straits Rd.,New Hampton,Belknap,New Hampshire,3256
Allamakee Farmers Market,1013 Rossville Road,Waukon,Allamakee,Iowa,52172
Priest River Farmer's and Flea Market,1015 Aleni Hwy,Priest River,Bonner,Idaho,83856
jackie moreno city Waco,1015 Hogan Lane appt. 6,Waco,McLennan,Texas,76705
Sulphur Farmers Market,1015 South Ruth St.,Sulphur,Calcasieu,Louisiana,70664
Findlay Farmers Market,1017 E Sandusky St,Findlay,,Ohio,45840
OLD MILLSTREAM FARMERS' MARKET,1017 E. SANDUSKY ST.- Hancock County Fairgrounds,FINDLAY,Hancock County,Ohio,
Hardin County Farmers Garden Trade Day,1019 Clifton Rd.,Savannah,Hardin,Tennessee,38372
Fountain Inn Farmers Market,102 Depot Street,Fountain Inn,Greenville,South Carolina,29644
Wapakoneta Farmers' Market,102 East Auglaize St.,Wapakoneta,Auglaize,Ohio,45895
Round Top Farmers Market Association,102 Main Street,Round Top,Fayette,Texas,78954
Evansville Farmers Market,102 Maple St.,Evansville,Rock,Wisconsin,53536
hauppauge farmers market,102 motor parway,Hauppauge,Suffolk,New York,11787
Northport Farmers Market,102 N Rose Street,Northport,Leelanau,Michigan,49670
Growers Market of Fuquay-Varina,102 N. Main St.,Fuquay-Varina,Wake,North Carolina,27526
Vincennes Historic Farmers Market,102 N. Second St.,Vincennes,Knox,Indiana,47591
Alva Farmers Market,102 North 2d,Alva,Woods,Oklahoma,73717
Danbury Farmers Market,102 Old Church Road,Danbury,Stokes,North Carolina,27016
Petersburg' Farmers Market,102 S. 7th St.,Petersburg,Menard,Illinois,62675
Fallbrook Certified Farmers Market,102 S. Main Street,Fallbrook,San Diego,California,92028
Forest Farmer's Market,102 W. Lima St.,Forest,Hardin,Ohio,45843
Huning Street Farmers and Artisan Market,1020 E. Huning,Show Low,Navajo,Arizona,85901
The Farmers Market at Clear Lake Shores,1020 Marina Bay Drive,Clear Lake Shores,Galveston,Texas,77565
Chino Valley Farmers Market,1020 N. State Road 89,Chino Valley,Yavapai,Arizona,86323
Southwest Farmers Market,10200 Dixie Highway,Louisville,Jefferson,Kentucky,40272
Farmers' Market at Poplar Grove,10200 US Hwy 17,Wilmington,Pender,North Carolina,28411
Madison County Farmers Market,1022 Cook Avenue,Huntsville,Madison,Alabama,35804
Ohio Valley Fruit & Vegetable Growers Asociation,1025 Lila Avenue,Milford,Clermont,Ohio,45150
Clayton California Farmers' Market,1028 Diablo Street,Clayton,Contra Costa,California,94517
Grant County Farmer's Market,1028 E Main St,Gas City,Grant,Indiana,46933
Whistle Stop Park Farmers Market,103 4th St NE,Dilworth,Clay,Minnesota,56529
The Montalvo House Community Market,103 E. Thomas Street,Brackettville,Kinney,Texas,78832
The Pass Market,103 Fleitas Ave.,Pass Christian,Harrison,Mississippi,39571
Blair Farmers Market,103 South 12th Street,Blair,Washington,Nebraska,68008
Farmington Farmers Market,103 South Front St.,Farmington,Van Buren,Iowa,52626
South Maple Street Farmers Market,103 South Maple Avenue,Davenport,Thayer,Nebraska,68335
Bracken County Farmers Market II,103 West 2nd Street,Augusta,Bracken,Kentucky,41002
Okanogan Valley Farmers Market,1030 2nd Ave. N,Okanogan,Okanogan,Washington,98840
Organic Farmers Market at Hoovers,1035 Academy Drive,Altamonte Springs,Seminole,Florida,32714
Scripps Ranch Farmers Market & Family Festival,10380 Spring Canyon Rd.,San Diego,San Diego,California,92131
King George Farmers' Market,10381 Ridge Road,King George,King George,Virginia,22485
D'Iberville Farmers Market,10383 Automall Parkway,D'Iberville,Harrison,Mississippi,39540
San Marcos/New Braunfels Farmers Market Association,104 C.M. Allen Parkway,San Marcos,Hays,Texas,78666
Coopers Cove Farmers Market,104 E. Avenue D,Lampasas,Lampasas,Texas,79045
Main Street Elyria Farmers Market,104 Middle Ave.,Elyria,,Ohio,44035
REC's Community Farmers Market - Fuller Family Park,104 Murray Ave.,Worcester,Worcester,Massachusetts,1610
Chariton Farmers Market,104 N. Grand,Chariton,Lucas,Iowa,50049
Haskell County Farmers Market,104 Northeast 6th St.,Stigler,Haskell,Oklahoma,74462
Grand Rapids Farmers Market,104 NW 4th St,Grand Rapids,Itasca,Minnesota,55744
Winter Garden Farmers' Market,104 S. Lakeview Ave,Winter Garden,Orange,Florida,
Oberlin Farmers Market,104 S. Penn St.,Oberlin,Decatur,Kansas,67749
Eatonville Farmers Market,104 Washington Street,Eatonville,Pierce,Washington,98328
True Value Patterson FM,1040 W. Las Palmas,Patterson,Stanislaus,California,
St. Charles Farmers' Market,10400 O’Donnell Place,St. Charles,Charles,Maryland,20603
Desert Canyon Center Farmers Market,10405 McDowell Mountain Rd.,Scottsdale,Maricopa,Arizona,85250
Chilton Farmers Market,1041 E. Chestnut St,Chilton,Calumet,Wisconsin,53014
Dover Cove Farmers' Market,1041 South St,Dover-Foxcroft,Piscataquis,Maine,4426
Greene County Farmers Market,10415 Spotswood Trail,Stanardsville,Greene,Virginia,22973
Jeffersontown Farmers Market,10416 Watterson Trail,Jeffersontown,Jefferson,Kentucky,40299
Feed Mill's Farmer's Market,10494 Wisconsin Avenue,Hayward,Sawyer,Wisconsin,54843
Northglenn Mall Farmers market,104th & I-25 Northglenn Mall,Northglenn,Adams,Colorado,80035
Harvest Home Union Settlement Market,104th St and 3rd Ave,Manhattan,New York,New York,
East Harlem Farmer's Market,104th Street & 3rd Avenue,New York,New York,New York,10029
Bay County Farmers Market,105 Adams St,Bay City,Bay,Michigan,48708
Crystal City Farmers' Market,105 Bailley Rd.,Crystal City,Jefferson,Missouri,63019
Jonesborough Farmers Market,105 Courthouse Square,Jonesborough,Washington,Tennessee,37659
Downtown Daytona Beach Farmers Market,105 E. Magnolia Ave.,Daytona Beach,Volusia,Florida,32114
Prairie Township Natural Products,105 Kern Road,Middletown,Montgomery,Missouri,63359
Coteau Hills Farmers' Market,105 Main Ave South,Kulm,,North Dakota,58456
King Farmers Market,105 Moore Road,King,Stokes,North Carolina,27021
International City Farmers' Market,105 Mulberry St (Perkins Field),Warner Robins,Houston,Georgia,31093
